datetime,action,side,volume,price,layer,pnl
2023-07-12 00:00:00+00:00,fill,sell,0.01,1935.21,1.0,
2023-07-12 01:00:00+00:00,fill,sell,0.01,1937.21,2.0,
2023-07-12 02:00:00+00:00,fill,sell,0.01,1939.21,3.0,
2023-07-12 06:00:00+00:00,take_profit,sell,0.01,1935.21,,2.0
2023-07-12 06:00:00+00:00,take_profit,sell,0.01,1937.21,,2.0
2023-07-12 12:00:00+00:00,fill,sell,0.01,1941.21,4.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1943.21,5.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1938.68,1.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1940.68,2.0,
2023-07-12 12:00:00+00:00,fill,sell,0.01,1942.68,3.0,
2023-07-12 13:00:00+00:00,take_profit,sell,0.01,1941.21,,2.0
2023-07-14 14:00:00+00:00,fill,buy,0.01,1956.65,1.0,
2023-07-14 14:00:00+00:00,fill,buy,0.01,1954.65,2.0,
2023-07-14 14:00:00+00:00,fill,buy,0.01,1952.65,3.0,
2023-07-14 15:00:00+00:00,take_profit,buy,0.01,1958.65,,2.0
2023-07-14 15:00:00+00:00,take_profit,buy,0.01,1956.65,,2.0
2023-07-14 15:00:00+00:00,take_profit,buy,0.01,1954.65,,2.0
2023-07-14 16:00:00+00:00,fill,buy,0.01,1957.09,1.0,
2023-07-14 17:00:00+00:00,take_profit,buy,0.01,1959.09,,2.0
2023-07-14 19:00:00+00:00,fill,buy,0.01,1955.09,2.0,
2023-07-14 19:00:00+00:00,fill,buy,0.01,1957.57,1.0,
2023-07-16 22:00:00+00:00,fill,buy,0.01,1953.09,3.0,
2023-07-17 01:00:00+00:00,take_profit,buy,0.01,1955.09,,2.0
2023-07-17 02:00:00+00:00,fill,buy,0.01,1951.56,1.0,
2023-07-17 03:00:00+00:00,take_profit,buy,0.01,1953.56,,2.0
2023-07-17 07:00:00+00:00,fill,buy,0.01,1950.65,4.0,
2023-07-17 08:00:00+00:00,take_profit,buy,0.01,1957.09,,2.0
2023-07-17 08:00:00+00:00,take_profit,buy,0.01,1952.65,,2.0
2023-07-17 10:00:00+00:00,take_profit,buy,0.01,1959.57,,2.0
2023-07-17 12:00:00+00:00,fill,buy,0.01,1948.65,5.0,
2023-07-17 12:00:00+00:00,fill,buy,0.01,1949.56,2.0,
2023-07-17 12:00:00+00:00,fill,buy,0.01,1951.96,1.0,
2023-07-17 13:00:00+00:00,take_profit,buy,0.01,1950.65,,2.0
2023-07-17 13:00:00+00:00,take_profit,buy,0.01,1951.56,,2.0
2023-07-17 13:00:00+00:00,fill,buy,0.01,1947.56,3.0,
2023-07-17 13:00:00+00:00,fill,buy,0.01,1945.96,4.0,
2023-07-17 14:00:00+00:00,take_profit,buy,0.01,1953.96,,2.0
2023-07-17 14:00:00+00:00,take_profit,buy,0.01,1949.56,,2.0
2023-07-17 14:00:00+00:00,take_profit,buy,0.01,1947.96,,2.0
2023-07-30 23:00:00+00:00,fill,buy,0.01,1957.23,1.0,
2023-07-31 03:00:00+00:00,fill,buy,0.01,1955.23,2.0,
2023-07-31 05:00:00+00:00,fill,buy,0.01,1953.23,3.0,
2023-07-31 06:00:00+00:00,take_profit,buy,0.01,1955.23,,2.0
2023-07-31 08:00:00+00:00,fill,buy,0.01,1951.23,4.0,
2023-07-31 08:00:00+00:00,fill,buy,0.01,1952.9,1.0,
2023-07-31 08:00:00+00:00,fill,buy,0.01,1950.9,2.0,
2023-07-31 09:00:00+00:00,take_profit,buy,0.01,1953.23,,2.0
2023-07-31 09:00:00+00:00,take_profit,buy,0.01,1954.9,,2.0
2023-07-31 09:00:00+00:00,take_profit,buy,0.01,1952.9,,2.0
2023-07-31 10:00:00+00:00,take_profit,buy,0.01,1957.23,,2.0
2023-07-31 11:00:00+00:00,take_profit,buy,0.01,1959.23,,2.0
