datetime,equity,balance,used_margin,margin_level_pct
2025-07-10 23:00:00+00:00,500.0,500.0,0.0,
2025-07-11 00:00:00+00:00,511.2424999999985,500.0,166.334075,307.35884995302285
2025-07-11 01:00:00+00:00,503.33349999999973,508.0,33.295965,1511.695185888139
2025-07-11 02:00:00+00:00,505.69999999999845,508.0,99.92430000000002,506.08310491041556
2025-07-11 03:00:00+00:00,502.3040000000001,508.0,133.31426,376.78189865060205
2025-07-11 04:00:00+00:00,506.3399999999997,514.0,33.325900000000004,1519.3588170161934
2025-07-11 05:00:00+00:00,529.099999999999,514.0,199.96800000000002,264.59233477356327
2025-07-11 06:00:00+00:00,515.8749999999995,524.0,33.33055,1547.754237478828
2025-07-11 07:00:00+00:00,516.6450000000009,524.0,166.84524999999996,309.6552044484341
2025-07-11 08:00:00+00:00,525.4499999999998,532.0,66.7454,787.2452633439904
2025-07-11 09:00:00+00:00,526.1969999999992,534.0,66.72003000000001,788.6642137301185
2025-07-11 10:00:00+00:00,523.8200000000006,534.0,200.5146,261.2378350504156
2025-07-11 11:00:00+00:00,502.9599999999991,538.0,133.83780000000002,375.7981676327608
2025-07-11 12:00:00+00:00,487.06699999999864,538.0,301.59423,161.49745305140576
2025-07-11 13:00:00+00:00,471.08599999999933,544.0,201.19554,234.1433612295776
2025-07-11 14:00:00+00:00,453.127999999997,544.0,201.37512000000004,225.01687398125293
2025-07-11 15:00:00+00:00,432.14600000000064,544.0,201.58494000000002,214.37414917999362
2025-07-11 16:00:00+00:00,454.2589999999982,544.0,201.36381000000003,225.59118244733162
2025-07-11 17:00:00+00:00,470.35099999999966,544.0,201.20288999999997,233.7695050006487
2025-07-11 18:00:00+00:00,463.2499999999991,544.0,201.27390000000003,230.15900223526202
2025-07-11 19:00:00+00:00,454.09999999999854,544.0,201.36540000000002,225.510440224586
2025-07-11 20:00:00+00:00,457.5199999999995,544.0,201.3312,227.24744103248753
2025-07-13 22:00:00+00:00,394.9520000000002,544.0,201.95688,195.56253790413092
2025-07-13 23:00:00+00:00,382.21099999999933,544.0,202.08429,189.13444483982366
2025-07-14 00:00:00+00:00,386.8309999999992,544.0,202.03809,191.46439168970522
2025-07-14 01:00:00+00:00,414.5600000000004,544.0,201.76079999999996,205.47103302524596
2025-07-14 02:00:00+00:00,444.1700000000001,544.0,201.4647,220.47038513446776
2025-07-14 03:00:00+00:00,448.6399999999994,544.0,201.42000000000002,222.7385562506203
2025-07-14 04:00:00+00:00,441.8299999999981,544.0,201.4881,219.28342170083403
2025-07-14 05:00:00+00:00,440.35999999999876,544.0,201.50280000000004,218.53790617301533
2025-07-14 06:00:00+00:00,412.0699999999979,544.0,201.78570000000002,204.21169587339332
2025-07-14 07:00:00+00:00,369.7400000000016,544.0,202.20899999999997,182.85041714266015
2025-07-14 08:00:00+00:00,376.8199999999979,544.0,202.1382,186.41701568530732
2025-07-14 09:00:00+00:00,381.97099999999955,544.0,202.08668999999998,189.01343774792866
2025-07-14 10:00:00+00:00,364.7599999999993,544.0,202.2588,180.3432038556539
2025-07-14 11:00:00+00:00,383.47099999999955,544.0,202.07169,189.76977923033135
2025-07-14 12:00:00+00:00,449.4319999999998,544.0,201.41208,223.1405385416802
2025-07-14 13:00:00+00:00,480.2400000000007,546.0,167.62449999999998,286.4974988739717
2025-07-14 14:00:00+00:00,520.833000000001,550.0,267.91252000000003,194.4041286312416
2025-07-14 15:00:00+00:00,518.5100000000002,556.0,167.19899999999998,310.1154911213585
2025-07-14 16:00:00+00:00,516.2100000000005,556.0,167.31399999999996,308.5276784967191
2025-07-14 17:00:00+00:00,516.1550000000002,558.0,167.46224999999998,308.2217036974006
2025-07-14 18:00:00+00:00,515.3799999999997,560.0,133.99200000000002,384.6349035763326
2025-07-14 19:00:00+00:00,522.2999999999997,560.0,133.8536,390.2024301176806
2025-07-14 20:00:00+00:00,529.5749999999998,560.0,167.17125,316.7859305951232
2025-07-14 22:00:00+00:00,528.7270000000003,562.0,133.76506,395.2654003967854
2025-07-14 23:00:00+00:00,526.4840000000008,562.0,133.80991999999998,393.45662862663767
2025-07-15 00:00:00+00:00,524.5970000000002,562.0,133.84766,391.9358769514538
2025-07-15 01:00:00+00:00,523.2400000000002,562.0,133.8748,390.84278744020554
2025-07-15 02:00:00+00:00,519.8400000000006,562.0,133.94279999999998,388.1059676220004
2025-07-15 03:00:00+00:00,509.1799999999989,564.0,201.2502,253.00844421521015
2025-07-15 04:00:00+00:00,481.26499999999896,564.0,235.11845,204.69044432710365
2025-07-15 05:00:00+00:00,466.34449999999924,564.0,235.267655,198.2187054144775
2025-07-15 06:00:00+00:00,473.69449999999733,564.0,235.194155,201.40572796122308
2025-07-15 07:00:00+00:00,465.3400000000015,564.0,235.27769999999995,197.78330032978118
2025-07-15 08:00:00+00:00,461.55099999999993,566.0,201.74649,228.77771008556329
2025-07-15 09:00:00+00:00,464.31100000000015,566.0,201.71889,230.17725310703435
2025-07-15 10:00:00+00:00,463.20099999999775,566.0,201.72999,229.6143473759146
2025-07-15 11:00:00+00:00,491.6824999999976,568.0,167.89607500000002,292.84931169474777
2025-07-15 12:00:00+00:00,522.0099999999998,572.0,134.0658,389.3685041226023
2025-07-15 13:00:00+00:00,577.4460000000008,576.0,167.37710000000004,344.99701572078897
2025-07-15 14:00:00+00:00,554.7599999999998,582.0,66.94274,828.7082363225643
2025-07-15 15:00:00+00:00,543.4300000000012,582.0,233.67694000000003,232.5561093020138
2025-07-15 16:00:00+00:00,502.88199999999915,584.0,199.73591999999996,251.77344165235738
2025-07-15 17:00:00+00:00,500.48200000000134,584.0,199.71192,250.60196707337315
2025-07-15 18:00:00+00:00,499.26399999999876,584.0,199.69973999999996,250.00733601355657
2025-07-15 19:00:00+00:00,506.33199999999806,584.0,199.77041999999997,253.4569432251272
2025-07-15 20:00:00+00:00,489.55000000000064,584.0,199.6026,245.26233626215324
2025-07-15 22:00:00+00:00,480.6189999999983,584.0,199.51328999999998,240.89573180814088
2025-07-15 23:00:00+00:00,501.027999999998,584.0,199.71738,250.86850228057168
2025-07-16 00:00:00+00:00,512.5600000000009,584.0,199.8327,256.4945576975144
2025-07-16 01:00:00+00:00,512.2000000000012,584.0,199.8291,256.31902460652685
2025-07-16 02:00:00+00:00,499.9899999999993,584.0,199.707,250.36178000771096
2025-07-16 03:00:00+00:00,509.7399999999993,584.0,199.80450000000002,255.11937919316097
2025-07-16 04:00:00+00:00,545.7950000000005,586.0,166.80525,327.2049291014524
2025-07-16 05:00:00+00:00,554.8599999999988,586.0,166.89589999999998,332.4587362541553
2025-07-16 06:00:00+00:00,560.1359999999991,588.0,133.53725999999997,419.46045620525626
2025-07-16 07:00:00+00:00,561.6399999999999,588.0,166.9166,336.4794154685633
2025-07-16 08:00:00+00:00,567.7900000000013,590.0,133.59380000000002,425.0122385919116
2025-07-16 09:00:00+00:00,571.5299999999993,590.0,133.63119999999998,427.6920359915943
2025-07-16 10:00:00+00:00,560.1799999999994,590.0,166.862,335.7145425561239
2025-07-16 11:00:00+00:00,557.8300000000004,592.0,133.4742,417.93095594504433
2025-07-16 12:00:00+00:00,561.5550000000012,592.0,166.83575000000002,336.59152789495124
2025-07-16 13:00:00+00:00,536.5890000000004,594.0,199.83039,268.5222202688992
2025-07-16 14:00:00+00:00,545.1660000000015,598.0,133.28756,409.0149148202589
2025-07-16 15:00:00+00:00,691.782499999998,606.0,167.024175,414.18106091528244
2025-07-16 16:00:00+00:00,616.0,616.0,0.0,
2025-07-16 17:00:00+00:00,617.8000000000006,616.0,167.58299999999997,368.6531450087424
2025-07-16 18:00:00+00:00,615.46,622.0,67.0458,917.9695074113517
2025-07-16 19:00:00+00:00,626.0,626.0,0.0,
2025-07-16 20:00:00+00:00,626.0,626.0,0.0,
2025-07-16 22:00:00+00:00,626.0,626.0,0.0,
2025-07-16 23:00:00+00:00,626.0,626.0,0.0,
2025-07-17 00:00:00+00:00,626.0,626.0,0.0,
2025-07-17 01:00:00+00:00,626.0,626.0,0.0,
2025-07-17 02:00:00+00:00,626.0,626.0,0.0,
2025-07-17 03:00:00+00:00,626.0,626.0,0.0,
2025-07-17 04:00:00+00:00,626.0,626.0,0.0,
2025-07-17 05:00:00+00:00,626.0,626.0,0.0,
2025-07-17 06:00:00+00:00,642.0799999999999,626.0,66.7446,961.995427345433
2025-07-17 07:00:00+00:00,634.25,630.0,33.3044,1904.4030218229423
